element_index,element,concentration,Te,Ne
0,Ag,1.0,11444.444444444445,5.56e+18
1,Al,1.0,11444.444444444445,5.56e+18
2,Ar,1.0,11444.444444444445,5.56e+18
3,As,1.0,11444.444444444445,5.56e+18
4,Au,1.0,11444.444444444445,5.56e+18
5,B,1.0,11444.444444444445,5.56e+18
6,Ba,1.0,11444.444444444445,5.56e+18
7,Be,1.0,11444.444444444445,5.56e+18
8,C,1.0,11444.444444444445,5.56e+18
9,Ca,1.0,11444.444444444445,5.56e+18
10,Cd,1.0,11444.444444444445,5.56e+18
11,Ce,1.0,11444.444444444445,5.56e+18
12,Cl,1.0,11444.444444444445,5.56e+18
13,Co,1.0,11444.444444444445,5.56e+18
14,Cr,1.0,11444.444444444445,5.56e+18
15,Cu,1.0,11444.444444444445,5.56e+18
16,Dy,1.0,11444.444444444445,5.56e+18
17,Er,1.0,11444.444444444445,5.56e+18
18,F,1.0,11444.444444444445,5.56e+18
19,Fe,1.0,11444.444444444445,5.56e+18
20,Gd,1.0,11444.444444444445,5.56e+18
21,He,1.0,11444.444444444445,5.56e+18
22,Hg,1.0,11444.444444444445,5.56e+18
23,Ho,1.0,11444.444444444445,5.56e+18
24,K,1.0,11444.444444444445,5.56e+18
25,La,1.0,11444.444444444445,5.56e+18
26,Li,1.0,11444.444444444445,5.56e+18
27,Lu,1.0,11444.444444444445,5.56e+18
28,Mg,1.0,11444.444444444445,5.56e+18
29,Mn,1.0,11444.444444444445,5.56e+18
30,Mo,1.0,11444.444444444445,5.56e+18
31,N,1.0,11444.444444444445,5.56e+18
32,Na,1.0,11444.444444444445,5.56e+18
33,Nd,1.0,11444.444444444445,5.56e+18
34,Ni,1.0,11444.444444444445,5.56e+18
35,O,1.0,11444.444444444445,5.56e+18
36,P,1.0,11444.444444444445,5.56e+18
37,Pb,1.0,11444.444444444445,5.56e+18
38,Pr,1.0,11444.444444444445,5.56e+18
39,Pt,1.0,11444.444444444445,5.56e+18
40,S,1.0,11444.444444444445,5.56e+18
41,Si,1.0,11444.444444444445,5.56e+18
42,Sm,1.0,11444.444444444445,5.56e+18
43,Sn,1.0,11444.444444444445,5.56e+18
44,Sr,1.0,11444.444444444445,5.56e+18
45,Ta,1.0,11444.444444444445,5.56e+18
46,Tb,1.0,11444.444444444445,5.56e+18
47,Ti,1.0,11444.444444444445,5.56e+18
48,V,1.0,11444.444444444445,5.56e+18
49,W,1.0,11444.444444444445,5.56e+18
50,Y,1.0,11444.444444444445,5.56e+18
51,Yb,1.0,11444.444444444445,5.56e+18
52,Zn,1.0,11444.444444444445,5.56e+18
