row_index,element,Te,Ne
0,Ac,7000.0,1e+16
1,Ag,7000.0,1e+16
2,Al,7000.0,1e+16
3,Ar,7000.0,1e+16
4,As,7000.0,1e+16
5,Au,7000.0,1e+16
6,B,7000.0,1e+16
7,Ba,7000.0,1e+16
8,Be,7000.0,1e+16
9,Bi,7000.0,1e+16
10,Br,7000.0,1e+16
11,C,7000.0,1e+16
12,Ca,7000.0,1e+16
13,Cd,7000.0,1e+16
14,Ce,7000.0,1e+16
15,Cl,7000.0,1e+16
16,Co,7000.0,1e+16
17,Cr,7000.0,1e+16
18,Cs,7000.0,1e+16
19,Cu,7000.0,1e+16
20,Dy,7000.0,1e+16
21,Er,7000.0,1e+16
22,Eu,7000.0,1e+16
23,F,7000.0,1e+16
24,Fe,7000.0,1e+16
25,Fr,7000.0,1e+16
26,Ga,7000.0,1e+16
27,Gd,7000.0,1e+16
28,Ge,7000.0,1e+16
29,H,7000.0,1e+16
30,He,7000.0,1e+16
31,Hf,7000.0,1e+16
32,Hg,7000.0,1e+16
33,Ho,7000.0,1e+16
34,K,7000.0,1e+16
35,Kr,7000.0,1e+16
36,La,7000.0,1e+16
37,Li,7000.0,1e+16
38,Lu,7000.0,1e+16
39,Mg,7000.0,1e+16
40,Mn,7000.0,1e+16
41,Mo,7000.0,1e+16
42,N,7000.0,1e+16
43,Na,7000.0,1e+16
44,Nd,7000.0,1e+16
45,Ne,7000.0,1e+16
46,Ni,7000.0,1e+16
47,O,7000.0,1e+16
48,P,7000.0,1e+16
49,Pb,7000.0,1e+16
50,Pd,7000.0,1e+16
51,Pr,7000.0,1e+16
52,Pt,7000.0,1e+16
53,Ra,7000.0,1e+16
54,Rb,7000.0,1e+16
55,Rh,7000.0,1e+16
56,Ru,7000.0,1e+16
57,S,7000.0,1e+16
58,Sb,7000.0,1e+16
59,Sc,7000.0,1e+16
60,Si,7000.0,1e+16
61,Sm,7000.0,1e+16
62,Sn,7000.0,1e+16
63,Sr,7000.0,1e+16
64,Ta,7000.0,1e+16
65,Tb,7000.0,1e+16
66,Tc,7000.0,1e+16
67,Te,7000.0,1e+16
68,Ti,7000.0,1e+16
69,Tl,7000.0,1e+16
70,Tm,7000.0,1e+16
71,V,7000.0,1e+16
72,W,7000.0,1e+16
73,Xe,7000.0,1e+16
74,Y,7000.0,1e+16
75,Yb,7000.0,1e+16
76,Zn,7000.0,1e+16
77,Ac,7000.0,1.12e+18
78,Ag,7000.0,1.12e+18
79,Al,7000.0,1.12e+18
80,Ar,7000.0,1.12e+18
81,As,7000.0,1.12e+18
82,Au,7000.0,1.12e+18
83,B,7000.0,1.12e+18
84,Ba,7000.0,1.12e+18
85,Be,7000.0,1.12e+18
86,Bi,7000.0,1.12e+18
87,Br,7000.0,1.12e+18
88,C,7000.0,1.12e+18
89,Ca,7000.0,1.12e+18
90,Cd,7000.0,1.12e+18
91,Ce,7000.0,1.12e+18
92,Cl,7000.0,1.12e+18
93,Co,7000.0,1.12e+18
94,Cr,7000.0,1.12e+18
95,Cs,7000.0,1.12e+18
96,Cu,7000.0,1.12e+18
97,Dy,7000.0,1.12e+18
98,Er,7000.0,1.12e+18
99,Eu,7000.0,1.12e+18
100,F,7000.0,1.12e+18
101,Fe,7000.0,1.12e+18
102,Fr,7000.0,1.12e+18
103,Ga,7000.0,1.12e+18
104,Gd,7000.0,1.12e+18
105,Ge,7000.0,1.12e+18
106,H,7000.0,1.12e+18
107,He,7000.0,1.12e+18
108,Hf,7000.0,1.12e+18
109,Hg,7000.0,1.12e+18
110,Ho,7000.0,1.12e+18
111,K,7000.0,1.12e+18
112,Kr,7000.0,1.12e+18
113,La,7000.0,1.12e+18
114,Li,7000.0,1.12e+18
115,Lu,7000.0,1.12e+18
116,Mg,7000.0,1.12e+18
117,Mn,7000.0,1.12e+18
118,Mo,7000.0,1.12e+18
119,N,7000.0,1.12e+18
120,Na,7000.0,1.12e+18
121,Nd,7000.0,1.12e+18
122,Ne,7000.0,1.12e+18
123,Ni,7000.0,1.12e+18
124,O,7000.0,1.12e+18
125,P,7000.0,1.12e+18
126,Pb,7000.0,1.12e+18
127,Pd,7000.0,1.12e+18
128,Pr,7000.0,1.12e+18
129,Pt,7000.0,1.12e+18
130,Ra,7000.0,1.12e+18
131,Rb,7000.0,1.12e+18
132,Rh,7000.0,1.12e+18
133,Ru,7000.0,1.12e+18
134,S,7000.0,1.12e+18
135,Sb,7000.0,1.12e+18
136,Sc,7000.0,1.12e+18
137,Si,7000.0,1.12e+18
138,Sm,7000.0,1.12e+18
139,Sn,7000.0,1.12e+18
140,Sr,7000.0,1.12e+18
141,Ta,7000.0,1.12e+18
142,Tb,7000.0,1.12e+18
143,Tc,7000.0,1.12e+18
144,Te,7000.0,1.12e+18
145,Ti,7000.0,1.12e+18
146,Tl,7000.0,1.12e+18
147,Tm,7000.0,1.12e+18
148,V,7000.0,1.12e+18
149,W,7000.0,1.12e+18
150,Xe,7000.0,1.12e+18
151,Y,7000.0,1.12e+18
152,Yb,7000.0,1.12e+18
153,Zn,7000.0,1.12e+18
154,Ac,7000.0,2.23e+18
155,Ag,7000.0,2.23e+18
156,Al,7000.0,2.23e+18
157,Ar,7000.0,2.23e+18
158,As,7000.0,2.23e+18
159,Au,7000.0,2.23e+18
160,B,7000.0,2.23e+18
161,Ba,7000.0,2.23e+18
162,Be,7000.0,2.23e+18
163,Bi,7000.0,2.23e+18
164,Br,7000.0,2.23e+18
165,C,7000.0,2.23e+18
166,Ca,7000.0,2.23e+18
167,Cd,7000.0,2.23e+18
168,Ce,7000.0,2.23e+18
169,Cl,7000.0,2.23e+18
170,Co,7000.0,2.23e+18
171,Cr,7000.0,2.23e+18
172,Cs,7000.0,2.23e+18
173,Cu,7000.0,2.23e+18
174,Dy,7000.0,2.23e+18
175,Er,7000.0,2.23e+18
176,Eu,7000.0,2.23e+18
177,F,7000.0,2.23e+18
178,Fe,7000.0,2.23e+18
179,Fr,7000.0,2.23e+18
180,Ga,7000.0,2.23e+18
181,Gd,7000.0,2.23e+18
182,Ge,7000.0,2.23e+18
183,H,7000.0,2.23e+18
184,He,7000.0,2.23e+18
185,Hf,7000.0,2.23e+18
186,Hg,7000.0,2.23e+18
187,Ho,7000.0,2.23e+18
188,K,7000.0,2.23e+18
189,Kr,7000.0,2.23e+18
190,La,7000.0,2.23e+18
191,Li,7000.0,2.23e+18
192,Lu,7000.0,2.23e+18
193,Mg,7000.0,2.23e+18
194,Mn,7000.0,2.23e+18
195,Mo,7000.0,2.23e+18
196,N,7000.0,2.23e+18
197,Na,7000.0,2.23e+18
198,Nd,7000.0,2.23e+18
199,Ne,7000.0,2.23e+18
200,Ni,7000.0,2.23e+18
201,O,7000.0,2.23e+18
202,P,7000.0,2.23e+18
203,Pb,7000.0,2.23e+18
204,Pd,7000.0,2.23e+18
205,Pr,7000.0,2.23e+18
206,Pt,7000.0,2.23e+18
207,Ra,7000.0,2.23e+18
208,Rb,7000.0,2.23e+18
209,Rh,7000.0,2.23e+18
210,Ru,7000.0,2.23e+18
211,S,7000.0,2.23e+18
212,Sb,7000.0,2.23e+18
213,Sc,7000.0,2.23e+18
214,Si,7000.0,2.23e+18
215,Sm,7000.0,2.23e+18
216,Sn,7000.0,2.23e+18
217,Sr,7000.0,2.23e+18
218,Ta,7000.0,2.23e+18
219,Tb,7000.0,2.23e+18
220,Tc,7000.0,2.23e+18
221,Te,7000.0,2.23e+18
222,Ti,7000.0,2.23e+18
223,Tl,7000.0,2.23e+18
224,Tm,7000.0,2.23e+18
225,V,7000.0,2.23e+18
226,W,7000.0,2.23e+18
227,Xe,7000.0,2.23e+18
228,Y,7000.0,2.23e+18
229,Yb,7000.0,2.23e+18
230,Zn,7000.0,2.23e+18
231,Ac,7000.0,3.34e+18
232,Ag,7000.0,3.34e+18
233,Al,7000.0,3.34e+18
234,Ar,7000.0,3.34e+18
235,As,7000.0,3.34e+18
236,Au,7000.0,3.34e+18
237,B,7000.0,3.34e+18
238,Ba,7000.0,3.34e+18
239,Be,7000.0,3.34e+18
240,Bi,7000.0,3.34e+18
241,Br,7000.0,3.34e+18
242,C,7000.0,3.34e+18
243,Ca,7000.0,3.34e+18
244,Cd,7000.0,3.34e+18
245,Ce,7000.0,3.34e+18
246,Cl,7000.0,3.34e+18
247,Co,7000.0,3.34e+18
248,Cr,7000.0,3.34e+18
249,Cs,7000.0,3.34e+18
250,Cu,7000.0,3.34e+18
251,Dy,7000.0,3.34e+18
252,Er,7000.0,3.34e+18
253,Eu,7000.0,3.34e+18
254,F,7000.0,3.34e+18
255,Fe,7000.0,3.34e+18
256,Fr,7000.0,3.34e+18
257,Ga,7000.0,3.34e+18
258,Gd,7000.0,3.34e+18
259,Ge,7000.0,3.34e+18
260,H,7000.0,3.34e+18
261,He,7000.0,3.34e+18
262,Hf,7000.0,3.34e+18
263,Hg,7000.0,3.34e+18
264,Ho,7000.0,3.34e+18
265,K,7000.0,3.34e+18
266,Kr,7000.0,3.34e+18
267,La,7000.0,3.34e+18
268,Li,7000.0,3.34e+18
269,Lu,7000.0,3.34e+18
270,Mg,7000.0,3.34e+18
271,Mn,7000.0,3.34e+18
272,Mo,7000.0,3.34e+18
