row_index,element,Te,Ne
0,Ag,7000.0,1e+16
1,Al,7000.0,1e+16
2,Ar,7000.0,1e+16
3,As,7000.0,1e+16
4,Au,7000.0,1e+16
5,B,7000.0,1e+16
6,Ba,7000.0,1e+16
7,Be,7000.0,1e+16
8,C,7000.0,1e+16
9,Ca,7000.0,1e+16
10,Cd,7000.0,1e+16
11,Ce,7000.0,1e+16
12,Cl,7000.0,1e+16
13,Co,7000.0,1e+16
14,Cr,7000.0,1e+16
15,Cu,7000.0,1e+16
16,Dy,7000.0,1e+16
17,Er,7000.0,1e+16
18,F,7000.0,1e+16
19,Fe,7000.0,1e+16
20,Gd,7000.0,1e+16
21,He,7000.0,1e+16
22,Hg,7000.0,1e+16
23,Ho,7000.0,1e+16
24,K,7000.0,1e+16
25,La,7000.0,1e+16
26,Li,7000.0,1e+16
27,Lu,7000.0,1e+16
28,Mg,7000.0,1e+16
29,Mn,7000.0,1e+16
30,Mo,7000.0,1e+16
31,N,7000.0,1e+16
32,Na,7000.0,1e+16
33,Nd,7000.0,1e+16
34,Ni,7000.0,1e+16
35,O,7000.0,1e+16
36,P,7000.0,1e+16
37,Pb,7000.0,1e+16
38,Pr,7000.0,1e+16
39,Pt,7000.0,1e+16
40,S,7000.0,1e+16
41,Si,7000.0,1e+16
42,Sm,7000.0,1e+16
43,Sn,7000.0,1e+16
44,Sr,7000.0,1e+16
45,Ta,7000.0,1e+16
46,Tb,7000.0,1e+16
47,Ti,7000.0,1e+16
48,V,7000.0,1e+16
49,W,7000.0,1e+16
50,Y,7000.0,1e+16
51,Yb,7000.0,1e+16
52,Zn,7000.0,1e+16
53,Ag,7000.0,1.12e+18
54,Al,7000.0,1.12e+18
55,Ar,7000.0,1.12e+18
56,As,7000.0,1.12e+18
57,Au,7000.0,1.12e+18
58,B,7000.0,1.12e+18
59,Ba,7000.0,1.12e+18
60,Be,7000.0,1.12e+18
61,C,7000.0,1.12e+18
62,Ca,7000.0,1.12e+18
63,Cd,7000.0,1.12e+18
64,Ce,7000.0,1.12e+18
65,Cl,7000.0,1.12e+18
66,Co,7000.0,1.12e+18
67,Cr,7000.0,1.12e+18
68,Cu,7000.0,1.12e+18
69,Dy,7000.0,1.12e+18
70,Er,7000.0,1.12e+18
71,F,7000.0,1.12e+18
72,Fe,7000.0,1.12e+18
73,Gd,7000.0,1.12e+18
74,He,7000.0,1.12e+18
75,Hg,7000.0,1.12e+18
76,Ho,7000.0,1.12e+18
77,K,7000.0,1.12e+18
78,La,7000.0,1.12e+18
79,Li,7000.0,1.12e+18
80,Lu,7000.0,1.12e+18
81,Mg,7000.0,1.12e+18
82,Mn,7000.0,1.12e+18
83,Mo,7000.0,1.12e+18
84,N,7000.0,1.12e+18
85,Na,7000.0,1.12e+18
86,Nd,7000.0,1.12e+18
87,Ni,7000.0,1.12e+18
88,O,7000.0,1.12e+18
89,P,7000.0,1.12e+18
90,Pb,7000.0,1.12e+18
91,Pr,7000.0,1.12e+18
92,Pt,7000.0,1.12e+18
93,S,7000.0,1.12e+18
94,Si,7000.0,1.12e+18
95,Sm,7000.0,1.12e+18
96,Sn,7000.0,1.12e+18
97,Sr,7000.0,1.12e+18
98,Ta,7000.0,1.12e+18
99,Tb,7000.0,1.12e+18
100,Ti,7000.0,1.12e+18
101,V,7000.0,1.12e+18
102,W,7000.0,1.12e+18
103,Y,7000.0,1.12e+18
104,Yb,7000.0,1.12e+18
105,Zn,7000.0,1.12e+18
106,Ag,7000.0,2.23e+18
107,Al,7000.0,2.23e+18
108,Ar,7000.0,2.23e+18
109,As,7000.0,2.23e+18
